scrapperid,accountsid
17,21
17,19
17,18
91,231
17,5
91,236
39,229
103,133
103,229
39,98
39,133
39,335
100,304
98,98
98,335
4,21
4,5
54,336
58,336
4,18
4,19
16,21
16,19
16,18
58,335
79,98
16,5
70,336
77,232
70,335
98,231
98,229
82,79
1,21
1,19
1,1
1,18
1,5
24,21
24,19
24,18
24,5
110,207
100,133
100,229
62,234
111,234
111,235
63,235
39,343
53,343
60,343
112,229
115,343
117,231
117,335
117,304
117,98
113,272
22,21
22,19
22,1
22,18
22,5
26,21
26,19
26,18
26,5
21,21
21,19
21,18
21,5
20,21
20,19
20,1
20,18
20,5
39,100
13,21
13,19
13,18
13,5
12,21
12,19
12,18
12,5
11,21
11,19
11,18
11,5
7,21
7,19
7,1
7,18
7,5
5,21
5,19
5,1
5,18
5,5
2,21
2,19
2,1
2,18
39,112
2,5
28,21
28,19
28,18
28,5
48,125
48,130
48,131
48,127
48,128
49,113
49,115
91,133
91,229
103,98
61,111
103,336
99,336
99,335
84,207
53,336
84,113
52,140
52,141
52,142
52,144
104,316
96,269
104,235
53,133
54,133
59,336
59,335
62,235
60,335
98,133
60,336
99,229
91,98
91,336
110,154
111,233
62,79
100,343
58,133
58,343
91,343
100,231
59,133
77,233
112,98
60,133
113,347
115,335
40,47
98,304
117,343
79,304
59,304
117,133
117,336
117,229
114,272
64,195
64,191
64,190
64,193
69,201
69,204
70,133
49,207
49,154
71,207
71,154
71,113
71,115
65,151
65,152
73,222
73,221
53,231
53,229
54,231
54,229
60,231
60,229
59,231
59,229
70,231
70,229
58,231
58,229
61,234
100,98
79,133
79,229
103,304
103,335
99,98
53,98
80,251
80,252
84,154
86,154
86,115
88,275
88,273
88,272
88,274
53,304
53,335
105,207
105,113
104,233
109,207
109,154
59,98
60,98
60,304
91,304
91,335
40,79
39,304
108,233
103,343
79,343
114,347
108,348
62,348
63,348
61,235
39,336
85,207
39,231
89,207
79,231
81,257
81,254
83,265
83,262
80,253
80,250
84,115
108,234
89,113
63,79
111,342
112,343
105,311
112,133
112,336
108,235
115,231
115,336
115,229
116,231
116,335
99,231
116,304
116,98
99,304
118,231
118,335
118,304
118,98
85,154
100,335
89,154
100,336
103,231
98,336
103,236
104,315
105,154
99,133
54,98
54,335
54,304
58,98
82,40
70,304
58,304
79,336
79,335
70,98
81,255
81,256
83,263
83,264
63,250
86,207
86,113
63,233
99,343
59,343
112,231
112,335
112,304
62,40
115,133
115,304
115,98
116,343
116,133
116,336
116,229
118,343
118,133
118,336
118,229
